loan_amnt,term,int_rate,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti
28654, 36 months,18.9%,B,1 year,RENT,92874,Source Verified,Nov-2016,Fully Paid,debt_consolidation,IL,26.426463105719414
20795, 60 months,11.8%,A,9 years,MORTGAGE,107733,Not Verified,Nov-2016,Late (31-120 days),vacation,CA,7.0852631434575875
5860, 60 months,19.5%,A,8 years,OWN,59511,Source Verified,Jul-2018,Fully Paid,credit_card,NC,34.16499871222071
10390, 36 months,6.3%,B,8 years,MORTGAGE,110960,Source Verified,Dec-2018,Fully Paid,medical,NY,5.428309450574971
34802, 36 months,11.3%,B,7 years,OWN,78821,Verified,Dec-2015,Current,small_business,NY,23.039504730084534
26575, 36 months,15.8%,E,9 years,OWN,95776,Verified,Jan-2017,Fully Paid,small_business,TX,21.87897787602165
16964, 60 months,20.8%,C,9 years,MORTGAGE,148128,Verified,Nov-2018,Fully Paid,home_improvement,FL,9.041471926091774
16284, 36 months,11.4%,C,< 1 year,RENT,100167,Source Verified,Oct-2018,Fully Paid,medical,TX,9.527479481405894
27118, 60 months,17.5%,A,1 year,RENT,105135,Not Verified,Mar-2018,Fully Paid,debt_consolidation,NC,28.780324633838802
11265, 36 months,22.7%,E,5 years,MORTGAGE,74462,Source Verified,Jul-2018,Fully Paid,major_purchase,MI,31.626873752380494
21850, 36 months,17.3%,D,9 years,RENT,91382,Verified,Feb-2018,Late (31-120 days),debt_consolidation,OH,13.490508976513087
34910, 36 months,9.7%,A,4 years,RENT,120194,Verified,Jun-2017,Fully Paid,medical,GA,18.138918918877053
9426, 36 months,5.5%,D,8 years,RENT,133381,Not Verified,May-2015,Fully Paid,vacation,NY,15.649851231150606
26962, 60 months,22.4%,C,4 years,RENT,62574,Verified,May-2017,Charged Off,car,PA,7.176410389599557
19423, 60 months,5.4%,A,1 year,OWN,132072,Verified,May-2017,Fully Paid,small_business,MI,25.196127380474284
33020, 36 months,22.5%,C,9 years,RENT,71910,Verified,Nov-2015,Fully Paid,home_improvement,PA,29.755788044170703
16363, 36 months,15.6%,C,3 years,MORTGAGE,103531,Not Verified,Feb-2018,Current,credit_card,CA,14.146380721736213
32495, 60 months,23.8%,A,8 years,MORTGAGE,55186,Source Verified,Jan-2017,Current,debt_consolidation,PA,34.70527380892155
21023, 60 months,21.0%,F,< 1 year,MORTGAGE,124781,Verified,May-2017,Charged Off,small_business,NY,7.275546718470648
13322, 60 months,25.0%,E,10+ years,MORTGAGE,52813,Not Verified,Dec-2018,Charged Off,major_purchase,NY,24.85372141443563
6685, 60 months,12.0%,D,< 1 year,MORTGAGE,108812,Verified,Nov-2017,Fully Paid,home_improvement,NY,18.44684043578267
5769, 36 months,20.3%,C,6 years,RENT,115525,Not Verified,Sep-2016,Late (31-120 days),credit_card,MI,18.398057033199677
31967, 60 months,13.0%,B,10+ years,MORTGAGE,108282,Verified,Aug-2015,Fully Paid,debt_consolidation,MI,18.729368481006208
28333, 36 months,14.6%,D,2 years,MORTGAGE,139779,Not Verified,Nov-2017,Current,major_purchase,GA,12.760453214042853
7433, 60 months,17.6%,C,9 years,MORTGAGE,48557,Verified,Feb-2017,Fully Paid,credit_card,IL,26.46688481996697
10311, 60 months,22.5%,A,1 year,OWN,58060,Source Verified,May-2015,Late (31-120 days),car,FL,26.647295782550806
10051, 60 months,24.7%,C,8 years,RENT,88866,Verified,Oct-2015,Current,small_business,NC,13.47191330317481
11420, 60 months,20.4%,E,2 years,OWN,102104,Not Verified,Apr-2015,Current,car,NC,30.059193825753503
22568, 60 months,13.4%,C,1 year,MORTGAGE,130905,Verified,May-2015,Fully Paid,small_business,CA,14.5053483095099
25939, 36 months,13.4%,A,7 years,RENT,114577,Source Verified,Apr-2017,Fully Paid,major_purchase,TX,26.752793719596266
