loan_amnt,int_rate,grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,term_months,emp_years
28654,18.9,B,RENT,92874,Source Verified,2016-11-01,Fully Paid,debt_consolidation,IL,26.426463105719414,36,1
20795,11.8,A,MORTGAGE,107733,Not Verified,2016-11-01,Late (31-120 days),vacation,CA,7.085263143457588,60,9
5860,19.5,A,OWN,59511,Source Verified,2018-07-01,Fully Paid,credit_card,NC,34.16499871222071,60,8
10390,6.3,B,MORTGAGE,110960,Source Verified,2018-12-01,Fully Paid,medical,NY,5.428309450574971,36,8
34802,11.3,B,OWN,78821,Verified,2015-12-01,Current,small_business,NY,23.03950473008453,36,7
26575,15.8,E,OWN,95776,Verified,2017-01-01,Fully Paid,small_business,TX,21.87897787602165,36,9
16964,20.8,C,MORTGAGE,148128,Verified,2018-11-01,Fully Paid,home_improvement,FL,9.041471926091774,60,9
16284,11.4,C,RENT,100167,Source Verified,2018-10-01,Fully Paid,medical,TX,9.527479481405894,36,0
27118,17.5,A,RENT,105135,Not Verified,2018-03-01,Fully Paid,debt_consolidation,NC,28.7803246338388,60,1
11265,22.7,E,MORTGAGE,74462,Source Verified,2018-07-01,Fully Paid,major_purchase,MI,31.626873752380494,36,5
21850,17.3,D,RENT,91382,Verified,2018-02-01,Late (31-120 days),debt_consolidation,OH,13.490508976513087,36,9
34910,9.7,A,RENT,120194,Verified,2017-06-01,Fully Paid,medical,GA,18.138918918877053,36,4
9426,5.5,D,RENT,133381,Not Verified,2015-05-01,Fully Paid,vacation,NY,15.649851231150606,36,8
26962,22.4,C,RENT,62574,Verified,2017-05-01,Charged Off,car,PA,7.176410389599557,60,4
19423,5.4,A,OWN,132072,Verified,2017-05-01,Fully Paid,small_business,MI,25.196127380474284,60,1
33020,22.5,C,RENT,71910,Verified,2015-11-01,Fully Paid,home_improvement,PA,29.755788044170703,36,9
16363,15.6,C,MORTGAGE,103531,Not Verified,2018-02-01,Current,credit_card,CA,14.146380721736213,36,3
32495,23.8,A,MORTGAGE,55186,Source Verified,2017-01-01,Current,debt_consolidation,PA,34.70527380892155,60,8
21023,21.0,F,MORTGAGE,124781,Verified,2017-05-01,Charged Off,small_business,NY,7.275546718470648,60,0
13322,25.0,E,MORTGAGE,52813,Not Verified,2018-12-01,Charged Off,major_purchase,NY,24.85372141443563,60,10
6685,12.0,D,MORTGAGE,108812,Verified,2017-11-01,Fully Paid,home_improvement,NY,18.44684043578267,60,0
5769,20.3,C,RENT,115525,Not Verified,2016-09-01,Late (31-120 days),credit_card,MI,18.39805703319968,36,6
31967,13.0,B,MORTGAGE,108282,Verified,2015-08-01,Fully Paid,debt_consolidation,MI,18.729368481006208,60,10
28333,14.6,D,MORTGAGE,139779,Not Verified,2017-11-01,Current,major_purchase,GA,12.760453214042853,36,2
7433,17.6,C,MORTGAGE,48557,Verified,2017-02-01,Fully Paid,credit_card,IL,26.46688481996697,60,9
10311,22.5,A,OWN,58060,Source Verified,2015-05-01,Late (31-120 days),car,FL,26.64729578255081,60,1
10051,24.7,C,RENT,88866,Verified,2015-10-01,Current,small_business,NC,13.47191330317481,60,8
11420,20.4,E,OWN,102104,Not Verified,2015-04-01,Current,car,NC,30.059193825753503,60,2
22568,13.4,C,MORTGAGE,130905,Verified,2015-05-01,Fully Paid,small_business,CA,14.5053483095099,60,1
25939,13.4,A,RENT,114577,Source Verified,2017-04-01,Fully Paid,major_purchase,TX,26.752793719596266,36,7
24769,19.8,D,MORTGAGE,36080,Verified,2018-06-01,Charged Off,vacation,GA,8.629993025361992,36,9
33693,9.8,B,RENT,43854,Not Verified,2015-02-01,Current,car,IL,10.06104928411237,60,5
11396,7.2,B,RENT,97695,Not Verified,2015-02-01,Fully Paid,small_business,OH,14.473869335247535,60,5
34419,12.1,A,RENT,57025,Source Verified,2016-10-01,Late (16-30 days),home_improvement,CA,22.816213030035843,36,9
32480,10.7,B,RENT,82982,Not Verified,2015-09-01,Current,major_purchase,MI,24.365344564360974,60,10
13666,10.9,D,OWN,71081,Verified,2015-03-01,Fully Paid,small_business,IL,16.890685159024244,60,6
30658,9.7,C,RENT,34368,Verified,2017-01-01,Current,debt_consolidation,NY,7.335174593315421,36,6
23942,5.8,B,MORTGAGE,129621,Verified,2015-05-01,Fully Paid,small_business,MI,16.20903956278173,60,10
29233,5.4,E,OWN,149181,Not Verified,2018-03-01,Fully Paid,car,TX,25.663025478774543,60,5
23431,24.8,E,RENT,57094,Verified,2015-09-01,Fully Paid,home_improvement,TX,25.12986383390948,36,3
7747,13.6,E,MORTGAGE,76040,Verified,2017-03-01,Fully Paid,credit_card,NC,9.805892396163284,36,10
30551,12.7,B,MORTGAGE,96766,Verified,2016-12-01,Current,vacation,FL,5.233519108069014,36,8
31382,18.6,C,MORTGAGE,113053,Source Verified,2016-05-01,Fully Paid,credit_card,FL,27.589448518883504,60,5
5189,9.4,G,RENT,53991,Not Verified,2017-06-01,Charged Off,small_business,OH,8.191044991557312,36,3
24118,24.0,D,MORTGAGE,31301,Not Verified,2017-09-01,Charged Off,credit_card,MI,7.470474318928565,36,2
8005,20.7,A,MORTGAGE,58610,Not Verified,2017-06-01,Current,small_business,MI,5.081036505024904,36,3
26042,6.8,A,RENT,111463,Source Verified,2015-12-01,Fully Paid,home_improvement,TX,17.978039778707817,36,2
6899,13.4,C,RENT,64678,Not Verified,2017-04-01,Current,credit_card,NY,20.097917027024437,36,1
29118,22.6,F,OWN,54466,Source Verified,2018-05-01,Fully Paid,car,NY,24.12992138445772,36,4
6267,23.9,C,RENT,110440,Source Verified,2016-08-01,Fully Paid,car,PA,13.881915221377575,60,1
22912,14.3,C,MORTGAGE,70875,Not Verified,2018-01-01,Fully Paid,debt_consolidation,NY,26.3127414916034,60,5
16394,17.3,A,RENT,56081,Verified,2016-08-01,Fully Paid,small_business,IL,10.079955722208249,36,2
8556,8.3,D,MORTGAGE,54354,Verified,2018-04-01,Current,credit_card,FL,29.95970159331042,36,5
8890,24.8,E,OWN,123297,Not Verified,2018-02-01,Fully Paid,car,NY,22.15544986671337,36,10
13838,9.6,B,RENT,48300,Not Verified,2015-12-01,Current,medical,GA,22.51669470116145,60,9
32464,23.9,D,RENT,94384,Source Verified,2017-10-01,Fully Paid,home_improvement,MI,11.293262413373244,60,8
19502,18.0,F,OWN,125027,Not Verified,2016-09-01,Fully Paid,vacation,NY,7.223262479011647,60,0
26777,17.2,B,MORTGAGE,90892,Source Verified,2018-08-01,Late (16-30 days),home_improvement,PA,18.941744092420144,60,5
15627,15.3,C,MORTGAGE,65525,Not Verified,2015-12-01,Current,medical,OH,23.46835855767077,60,8
13792,9.6,B,RENT,56532,Verified,2016-08-01,Fully Paid,medical,OH,7.851393759850568,60,10
15555,8.5,D,RENT,36464,Verified,2018-07-01,Fully Paid,debt_consolidation,TX,33.516034235845,60,3
15253,9.4,C,RENT,46562,Not Verified,2015-02-01,Fully Paid,home_improvement,NY,34.412430806984204,60,10
13433,8.7,C,MORTGAGE,137392,Source Verified,2017-12-01,Fully Paid,home_improvement,MI,21.36370086177476,60,1
15233,20.6,D,RENT,85514,Verified,2017-02-01,Current,credit_card,MI,33.50207465820219,36,3
16016,12.0,B,OWN,143428,Source Verified,2015-04-01,Current,small_business,FL,10.383357127425592,36,0
28897,6.2,F,MORTGAGE,142564,Not Verified,2016-05-01,Fully Paid,major_purchase,OH,5.762620555385746,36,2
7612,24.4,C,MORTGAGE,138047,Not Verified,2016-09-01,Late (31-120 days),vacation,TX,6.182286058711698,36,9
28425,22.7,A,RENT,104219,Verified,2016-08-01,Fully Paid,home_improvement,NY,22.62537438280337,60,8
30939,23.6,D,RENT,62634,Not Verified,2016-01-01,Fully Paid,vacation,OH,6.849256503104706,60,9
27619,24.9,D,MORTGAGE,30060,Verified,2018-07-01,Fully Paid,vacation,OH,33.75636820472261,36,4
26870,8.5,B,MORTGAGE,39269,Source Verified,2015-10-01,Charged Off,vacation,MI,9.257996322781956,60,10
28483,12.9,E,RENT,93143,Verified,2017-12-01,Fully Paid,home_improvement,NY,14.141684181589358,36,5
31054,20.2,F,MORTGAGE,53065,Verified,2018-03-01,Fully Paid,major_purchase,CA,29.67553405995045,60,2
20787,18.9,B,MORTGAGE,32895,Source Verified,2016-10-01,Fully Paid,home_improvement,NY,11.562209693122792,36,4
32132,8.1,G,RENT,110859,Verified,2015-07-01,Fully Paid,credit_card,IL,12.289053753637118,60,10
